Recipe ID,Recipe Title,Weight Per Serving,Vegetarian,Vegan,Gluten Free,Dairy Free,Minutes,Dish Type,Ingredients,Ingredients,Calories,Alcohol,Instructions
12,Roasted Peppers with Boquerones,88,FALSE,FALSE,TRUE,TRUE,4500,side dish,"boquerones,red bell peppers,sherry vinegar,sugar",,32,0,"Preheat broiler. Broil bell peppers on a broiler pan about 5 inches from heat, turning occasionally with tongs, until skins are blackened, 15 to 20 minutes. Transfer to a large bowl and cover bowl tightly with plastic wrap, then let steam 20 minutes. When peppers are cool enough to handle, peel them, reserving all juices in bowl, and discard stems and seeds. Cut peppers lengthwise into 1/4-inch-wide strips. Pour pepper juices through a sieve into another bowl, then add vinegar and sugar to juices, stirring until sugar is dissolved, then stir in peppers. Marinate peppers at room temperature, stirring occasionally, at least 2 hours. Spoon peppers and juices into a shallow bowl and arrange anchovy strips decoratively on top. Cooks' note: Peppers can marinate (without anchovies), covered and chilled, up to 3 days. Bring to room temperature before serving."
13,"Anchovies, Tomatoes And Green Beans Couscous",941,FALSE,FALSE,FALSE,TRUE,45,"lunch,main course,main dish,dinner","anchovies,anchovies in extra virgin olive oil,balsamic vinegar,basil,basil,bell pepper,cherry tomatoes,cherry tomatoes,couscous,couscous,extra virgin olive oil,extra-virgin olive oil,green beans,green beans,salad mix,salt,tomatoes,vegetarian bacon",,1.094,0,
16,Sliced Baguette With Radishes And Anchovy Butter,211,FALSE,FALSE,FALSE,FALSE,45,side dish,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",,946,0,"Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve."
17,Savory Slow Roasted Tomatoes with Filet of Anchovy,507,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovy filets,extra virgin olive oil,fire-roasted tomatoes,herbs,Salt & Pepper,summer squash,sun-dried tomatoes,tomatoes,Top Sirloin,pomodori al forno con le acciughe,remove from oven",,479,0,"Roasted Tomatoes with Anchovies Pomodori al forno con le acciughe serves 44 round tomatoes (we grow & use grappolo for this dish) small handful of any fresh herbs you like, chopped - we use oregano but you can also use basil, thyme, etc.salt & peppergood quality extra virgin olive oil8 high quality anchovy filets, (we use anchovies from Sardegna packed in salt) Preheat oven to 150 C or 280 FCut the top 3rd off the tomatoes & discard top.Place tomatoes on a baking tray, lined with parchment paper. Sprinkle generously with salt, pepper & herbs. Drizzle with a generous amount of olive oil. Place in the oven for 4-6 hours depending on the size of your tomatoes. Every once in a while as you pass the kitchen, baste the tomatoes in the juices & olive oil in the pan.Once the tomatoes shrivel up a bit & start to look sun-dried, they are ready. They should still hold their shape & not become mush.Remove from oven, top each tomato with a whole anchovy filet. Serve warm or room temperature with olive oil from the baking pan drizzled over the top."
18,Anchovy Vinaigrette,244,FALSE,FALSE,TRUE,TRUE,45,,"bell pepper,club soda,cream-style corn,dijon mustard,extra virgin olive oil,food dye,food dye,oil-packed anchovies,red wine vinegar,wine,kids,kitchen & tabletop",,234,15,
19,No-knead Fennel & Anchovy Pizza,808,FALSE,FALSE,FALSE,FALSE,26,"lunch,main course,main dish,dinner","anchovy,cornmeal,fennel,fennel bulb,flour,lemon zest,mozzarella cheese,olive oil,pepper,pizza dough",,673,0,"Preheat oven to 500F. If you have a pizza stone, stick it in the oven.In a small skillet, heat 1 tablespoon olive oil over medium heat. Add fennel slices and cook, stirring occasionally, until slightly browned. Remove from heat.With floured hands over a floured surface, stretch or toss (if you know how) the dough until it is 10-12"", taking care not to stretch it too thin. Uneven is okay, this dough makes a rustic crust. No need to aim for a perfect circle either. Press small thumbprints around the crust and brush with remaining tablespoon olive oil.Sprinkle a baking sheet with cornmeal and transfer the crust over. Re-shape if it's gone askew. Top with the mozzarella slices, fennel, and anchovy. Slide onto the pizza stone, or place baking sheet in oven.Cook until crust looks golden brown and cheese is bubbling, 6-10 minutes. When ready, carefully pull from the oven, top with lemon zest, a few cracks of pepper and the fennel fronds. Slice and serve."
20,"Pan-roasted East Coast Skate, Anchovy And Broccoli Pickle",193,FALSE,FALSE,TRUE,FALSE,8,side dish,"capers,extra virgin olive oil,garlic,green chilli,green olives,ice water,juice of lime,sea-salt,sherry vinegar,skate wings,tarragon,anchovies,unsalted butter",,487,0,
21,"Anchovies, Beans And Rocket",2648,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovies in extra virgin olive oil,borlotti beans,extra firm tofu,extra-virgin olive oil,parsley,pinenuts,pinto beans,rocket",,1.737,0,
22,Anchovy And Onion Tart,286,FALSE,FALSE,FALSE,TRUE,45,side dish,"active yeast,anchovy filets,bouquet garni,flour,olive oil,olives,onions,rosemary,salt,salt and pepper",,453,0,
23,"Cauliflower, Anchovies and Tomatoes",497,FALSE,FALSE,FALSE,TRUE,45,side dish,"anchovies,balsamic vinegar,bell pepper,capers,cauliflower,cherry tomatoes,chives,extra virgin olive oil,fish,parsley,red chilli pepper,salad mix,salt,tomatoes,vegetarian bacon",,242,0,
25,Anchovy Fries with Smoked Paprika Aioli,140,FALSE,FALSE,FALSE,TRUE,45,"lunch,main course,main dish,dinner","anchovies,eggs,flour,garlic clove,hungarian paprika,kosher salt,lemon juice,lemon wedges,olive oil,panko bread crumbs,paprika,vegetable oil",,380,0,"Stir mayonnaise, lemon juice, garlic, and paprikas together in a bowl. Chill aioli until serving. Clean fish (steps 1 and 2 of ""You Found the Fish,"" below). Preheat oven to 200. Line a rimmed baking sheet with paper towels and keep warm in oven. Fill a large pot with 1 in. oil, insert a deep-fry thermometer, and bring oil to 375 over medium-high heat. Combine flour and 1/2 tsp. salt in a pie pan, and panko and remaining 1/2 tsp. salt in another pie pan. In a shallow bowl, whisk eggs to blend. Dip fish in flour, shaking off excess, then in egg, then in panko, turning to coat; set on a baking sheet. Fry one-quarter of fish at a time until golden, 1 to 1 1/2 minutes. Transfer to pan in oven. Serve with aioli and lemon wedges. You Found the Fish--Now What? Some markets will clean them for you, but if not, you can do it yourself easily enough--it just takes a little practice. SCALE AND CUT. Scrape off the scales gently with fingertips. Cut through both sides of belly 1/4 in. from edge, from collar to tail. CLEAN. Pull out the guts; rinse the fish inside and out. Snip off fins. FILLET (RAW). Score fish all the way around collar just to the bone. Slide your index finger into cut on one side of collar and your middle finger into the other side. Slide your fingers along spine to tail, pulling fillets free. Cut off tail and pull out any remaining bones. FILLET (COOKED). Make 3 cuts through flesh to bones: along the length of the spine (to one side of it), at collar, and just above tail. Slide knife under fillet to free it from spine, and lift it off. Pull up tail and lift off spine and head to free bottom fillet. Pull out any remaining bones. *If you can't find fresh anchovies or smelt, you can make the recipe with sardines: Discard heads and tails, and cut bodies into 2-in. pieces. Cut cooked meat from the bones. Note: Find these little fish at some grocery stores, fish markets (you might need to order them), and Asian markets. If you live near a coastal town, head to the docks-fresh anchovies and smelt are often sold as bait. Look for fish with bright eyes, shiny skin, and a mild aroma. They're very perishable, so plan to cook them the same day."
26,Sliced Baguette With Radishes And Anchovy Butter,15,FALSE,FALSE,FALSE,FALSE,25,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",,59,0,"Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve."
27,Cook the Book: Braided Beef with Anchovies and Olives,478,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovy,bell pepper,extra virgin olive oil,kalamata olives,loin roast",,593,0,"Crush the anchovies to a paste in a mortar (or pulse in a food processor). Chop half of the olives, and crush them together with the anchovies. Cut the fillet lengthwise into 3 long strips, stopping 1 inch from the end. Spread the anchovy mixture evenly along one side of each strip. Braid the meat tightly, tying it firmly together at the end with kitchen string.  Use your palms to flatten the braid to an even thickness, then push any anchovy stuffing back into the braids. Brush the meat all over with 1 tablespoon of the olive oil. Brush a chapa (a flat piece of cast iron set over a fire) or large cast-iron griddle with the remaining 1 tablespoon olive oil and heat over medium heat until a drop of water sizzles on the surface. Add the beef and cook without moving for 10 minutes, or until it is nicely browned on the first side. Turn the meat over and sear on the other side for about 6 minutes—the meat should be quite rare. Continue turning and cooking the meat until all the sides are seared and it is done to taste. Transfer the meat to a carving board and let rest for 5 minutes. Meanwhile, lightly smash the remaining olives and place alongside the meat. The juices will run together. Remove the string, carve the beef into thick slices, and season with pepper. Serve with olives and juices."
28,Potato Salad With Green Goddess Dressing,308,FALSE,FALSE,TRUE,FALSE,45,salad,"anchovies,basil,lemon juice,new potatoes,olive oil,parsley,red onion,red wine vinegar,salt,strained yogurt,sugar,tarragon",,260,0,
29,"Skate, Chicory, and Anchovy",585,FALSE,FALSE,TRUE,TRUE,120,,"anchovy,bell pepper,black peppercorns,capers,celery,chicory,curly parsley,curly parsley,extra virgin olive oil,fennel,garlic,garlic,lemon zest,onion,rocket,sea salt,skate,white wine,wine vinegar",,523,6,"To make your poaching broth mix all the ingredients together and add enough water to cover your skate. Bring it up to a boil and then turn the heat down to a simmer. Slip your skate wing into the poaching pan and cook for approximately 10 minutes (check that the flesh comes away from the bone), then turn off the heat and allow to cool in the liquor. When cold remove the skate from the liquor and pull the flesh from the bone. It should come away in easy strips. Now make your dressing: either whizz all the ingredients in a food processor or pound them in a mortar with a pestle. Bring together the skate, chicory, rocket (arugula), parsley, capers, and the dressing (cautionthere may be too much, so do not add it all at once), and toss.                                                                                                                                                                                                                                                                                                "
30,Raw Mustard Greens Salad With Gruyère And Anchovy Croutons,173,FALSE,FALSE,FALSE,TRUE,40,salad,"anchovy,bread cubes,garlic cloves,lemon juice,lemon juice,mustard greens,mustard greens,olive oil",,274,0,"Preheat oven to 375F. Combine anchovies and garlic in small bowl. Gradually whisk in oil. Place bread cubes in medium bowl. Drizzle 2 tablespoons anchovy oil over, tossing to coat. Sprinkle bread with salt, pepper, and half of cheese; toss to coat. Spray rimmed baking sheet with nonstick spray. Scatter bread on sheet. Bake croutons until crisp and golden, stirring occasionally, about 20 minutes. Set aside. Measure 8 cups (loosely packed) mustard greens and place in large bowl (reserve any remaining greens for another use). Add croutons and remaining cheese to bowl. Whisk 5 teaspoons lemon juice into remaining anchovy oil; season dressing with salt, pepper, and more lemon juice, if desired. Add dressing to salad; toss to coat."
31,Caramelized Onion And Fresh Anchovy Tart,233,FALSE,FALSE,FALSE,TRUE,45,side dish,"balsamic vinegar,cane sugar,fresh anchovies,olive oil,puff pastry,red onions,rocket,salt and pepper,thyme",,576,0,
32,Anchovy Crostini With Onion-and-raisin Relish,224,FALSE,FALSE,FALSE,TRUE,45,side dish,"baguette,bay leaf,coarse salt,dry white wine,golden raisins,oil packed tuna,olive oil,onions,pine nuts,radicchio,white-wine vinegar",,426,1,
33,Radish Salad Lugano,449,FALSE,FALSE,TRUE,FALSE,45,salad,"anchovies,anchovy paste,apple cider vinegar,black olives,dijon mustard,fresh tarragon,garlic,gruyere cheese,olive oil,parsley,radishes,salt and pepper,scallions",,738,0,
34,Cardoons With Anchovy-garlic Sauce,50,FALSE,FALSE,TRUE,FALSE,45,side dish,"anchovy filets,butter,garlic,garlic clove,lemon,olive oil,olive oil",,210,0,
35,Anchovy and Herb Marinade,59,FALSE,FALSE,TRUE,TRUE,45,side dish,"anchovy,capers,flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil",,197,0,"Whisk all ingredients together. Put beef in a nonreactive baking dish and pour marinade over, turning to coat."
36,Beet Greens With Anchovies,147,FALSE,FALSE,TRUE,FALSE,20,side dish,"anchovies in salt,beet greens,beet greens,beet greens,beet greens,food dye,food dye,garlic,olive oil,parmesan cheese,poppy seeds,radishes,red pepper flakes,roma tomato,water",,113,0,
37,Roasted Cauliflower With Anchovy Bread Crumbs,476,FALSE,FALSE,FALSE,TRUE,60,side dish,"anchovy,bread crumbs,cauliflower,extra virgin olive oil,extra virgin olive oil,fresh sage leaves,garlic,kosher salt,lemon zest,shallot,sugar",,516,0,"Preheat oven to 400 degrees. Break cauliflower into florets and toss in a bowl with sage, lemon zest, sugar and olive oil. Season with salt and pepper and spread out on a large baking sheet. Place in oven and cook until tender and golden, approximately 20 to 25 minutes. Meanwhile, prepare bread crumbs. Heat olive oil in a saut pan set over medium heat. When oil shimmers, add the anchovies, garlic, shallot and bread crumbs. Cook for 5 to 7 minutes, until golden. In a large bowl, toss together cauliflower and bread crumbs and serve on a warmed platter. "
38,Onion Anchovy Galette,121,FALSE,FALSE,FALSE,FALSE,280,side dish,"anchovy,dried thyme,flour,garlic clove,ice water,olive oil,onions,salt,tomato paste,unsalted butter,unsalted butter",,334,0,"Make dough: Blend together flour, butter, and salt in a bowl with your fingertips or a pastry blender (or pulse in a food processor) just until most of mixture resembles coarse meal with some roughly pea-size butter lumps. Drizzle 3 tablespoons ice water evenly over mixture and gently stir with a fork (or pulse in processor) until incorporated. Squeeze a small handful: If it doesn't hold together, add more ice water, 1/2 tablespoon at a time, stirring (or pulsing) until incorporated, then test again. (Do not overwork mixture or pastry will be tough.) Turn out mixture onto a lightly floured surface and divide into 4 portions. With heel of your hand, smear each portion once or twice in a forward motion to help distribute fat. Gather dough together, with a pastry or bench scraper if you have one, and press into a ball, then flatten into a 5-inch disk. Chill, wrapped in plastic wrap, until firm, at least 1 hour. Caramelize onions while dough chills: Cook onions in oil and butter in a 12-inch heavy skillet over medium heat, stirring occasionally, until softened and golden, about 30 minutes. Fill and bake galette: Preheat oven to 375F with rack in middle. Finely chop anchovies and garlic together. Stir together with tomato paste and thyme. Roll out dough on a lightly floured surface with a lightly floured rolling pin into a 13-inch round. Transfer to a parchment-lined large baking sheet. Spread tomato-anchovy mixture over dough, leaving a 2-inch border along edge, then arrange onions on top. Fold edges of dough inward. Bake until pastry is golden, 45 to 50 minutes. Serve warm or at room temperature. Cooks notes: Dough can be chilled up to 3 days. Onions can be caramelized 1 day ahead and chilled."
39,Radish Salad With Anchovy Sauce,21,FALSE,FALSE,TRUE,TRUE,36,salad,"anchovy,capers,flatleaf parsley,garlic clove,lemon juice,olive oil,radishes,salt",,36,0,"Trim tops and tails from the radishes. Scrub them well. Slice each radish into 4 wedges (if small) or 6 wedges (if large). With a mortar and pestle (or in a mini food processor), mash the anchovy, garlic, and a pinch of salt to a paste. Mix in the lemon juice, then slowly blend in the oil, adding it in a thread-thin stream as you mix. Fold in the capers. Add the sauce and parsley to the radishes and fold until well blended. Adjust lemon juice and salt to taste. Serve within 30 minutes."
40,"Pizza With Anchovies, Red Onion, And Oregano",143,FALSE,FALSE,FALSE,FALSE,25,"lunch,main course,main dish,dinner","anchovies,garlic,olive oil,oregano,parmesan,pizza dough,red chili flakes,red onion,tomato sauce",,407,0,"Transfer to oven: Slide parchment ontostone or baking sheet. Bake for 13 to 15 minutes, until cheese is bubbly and bottom is crisp."
41,Anchovy & Italian Parsley Deviled Eggs,416,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovy filets,capers,dijon mustard,eggs,mayonnaise,parsley,bell pepper,salt,smoked paprika",,626,0,
42,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,225,FALSE,FALSE,FALSE,FALSE,45,"lunch,main course,main dish,dinner","anchovy,bread,butter,fresh mozzarella,garlic clove,kosher salt,lemon juice,olive oil,olives,oregano leaves",,703,0,"Mince the garlic. Add the salt and keep mincing until the garlic forms a paste. Place the olives and anchovy on your cutting board and coarsely chop them all together until fine but not completely paste-like. Transfer to a small bowl and add the lemon juice and olive oil.On one side of the bread, place the mozzarella. Sprinkle with oregano. On the other, mound most the tapenadethe amount depends on the size of your bread and your appetite for olives. Melt half the butter in a frying pan over medium-low heat. Place the sandwich in the pan with a weight on top for best results. Cook for 5-6 minutes, until the bread is golden and the cheese starts to melt. Lift the sandwich up, add the rest of the butter, flip the sandwich, and cook about 5 minutes on the second side.Cut in half and serve."
43,Pressed Summer Sandwich with Eggs and Anchovies,78,FALSE,FALSE,FALSE,TRUE,15,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovies,black olives,black pepper,capers,cherry tomatoes,crusty bread,fresh parsley leaves,garlic,hard cooked eggs,olive oil,orange bell pepper,red onion",,145,0,"Hollow out the bread by removing most of the inside crumb. Reserve 1/2 cup of the crumb for the filling. Place the olive oil, capers,parsley, garlic, pepper, and anchovies (or salt) in a food processor. Process until the garlic is finely chopped, 1 to 2 minutes. Transfer the mixture to a large bowl. Add the bell pepper,tomatoes, onion, olives, and the reserved bread filling. Toss to combine.Layer half the mixture in the bottom half of the hollowed-out bread. Top with the hard-cooked eggs and the remaining mixture. Replace the top of the loaf. Wrap the filled loaf with plastic wrap. Weigh it down with a heavy object, such as a cast-iron skillet filled with cans. Place it in the refrigerator. Let sit at least 10 hours or overnight. Before serving, cut the loaf into 6 wedges with a sharp bread knife."
44,Chicory In Anchovy Sauce,151,FALSE,FALSE,TRUE,TRUE,45,sauce,"anchovy filets,dandelion greens,dandelion greens,garlic,kosher salt,olive oil,red wine vinegar",,245,0,
45,"Mustard Greens, Shrimp, And Anchovy Pasta",195,FALSE,FALSE,FALSE,TRUE,6,,"anchovies,coarse salt,juice of lemon,mustard greens,olive oil,red chili flakes,short pasta,shrimp",,407,0,
46,"Orecchiette with Cauliflower, Anchovies and Pistachios",276,FALSE,FALSE,FALSE,FALSE,45,"lunch,main course,main dish,dinner","cauliflower,chicken stock,crushed red pepper,flat-leaf parsley,oil packed tuna,orecchiette,parmesan cheese,salt and pepper,unsalted butter,unsalted pistachios",,557,0,"Preheat the oven to 350. Spread the pistachios in a pie plate and bake for about 5 minutes, or until lightly toasted. Let cool, then coarsely chop. In a medium saucepan of boiling water, blanch the cauliflower florets for 1 minute. Drain and set aside. In a large, deep skillet, cook the butter over moderate heat until golden brown, about 4 minutes. Add the cauliflower and cook over moderately high heat until golden. Add the anchovies and cook, stirring, for 2 minutes. Stir in the stock and cook until the cauliflower is tender, about 3 minutes. Meanwhile, in a large pot of boiling salted water, cook the orecchiette until al dente. Drain the pasta and add it to the skillet. Stir in the parsley, Parmesan and crushed red pepper and season with salt and pepper. Transfer to a warmed bowl, sprinkle with the chopped pistachios and serve."
47,Roasted Cauliflower With Anchovy Vinaigrette,274,FALSE,FALSE,TRUE,TRUE,45,side dish,"anchovy,cauliflower,garlic cloves,lemon,olive oil,parsley,salt and pepper",,310,0,"Preheat oven to 425. Break cauliflower into bite-sized pieces. Combine garlic, anchovies, 1/4 cup of olive oil and juice of 1/2 lemon (more to taste). Use an immersion blender to emulsify dressing. Place cauliflower in large baking pan, sprinkle with salt and pepper and remainder of olive oil.  Roast until cauliflower starts to change color (15 minutes).  Add 1/4 cup of cold water, lower heat to 350 and cook for an additional 30 minutes or until tender turning pieces on occasion. Remove from oven and place in large bowl. Pour dressing over cauliflower and serve. If you want a little more pop add some lemon and garnish with chopped parsley."
48,Roasted Red Peppers With Anchovies And Olive Oil,210,FALSE,FALSE,TRUE,TRUE,83,side dish,"anchovy,garlic,olive oil,olive oil,red bell peppers,red bell peppers",,130,0,"Transfer peppers to a large bowl, and cover immediately with plastic wrap. Set aside to steam, about 15 minutes. Peel peppers; discard skins. Remove stems, seeds, and ribs, and cut each pepper lengthwise into 8 strips. Transfer to a small non-reactive bowl."
49,Tomato And Boquerones Salad With Garlicky Breadcrumbs,91,FALSE,FALSE,TRUE,TRUE,8,side dish,"anchovy,basil leaves,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",,103,0,
50,Hard-Cooked Eggs with Crisp Anchovy Crumbs,34,FALSE,FALSE,FALSE,FALSE,45,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovy fillets,brioche,eggs,garlic,lemon zest,mayonnaise,parsley,unsalted butter",,71,0,"Preheat the oven to 350 In a large saucepan, cover the eggs with water and bring to a simmer. Cook over moderate heat for 8 minutes. Drain the eggs, return them to the pan and shake the pan to crack the shells all over. Fill the pan with cold water and let the eggs cool for 3 minutes. Drain and peel the eggs; pat dry. Meanwhile, in a small bowl, blend together the mayonnaise, garlic and one-third of the minced anchovies. In a small skillet, melt the butter over moderate heat. Add the remaining minced anchovies and cook, stirring, until they break down, about 1 minute. Stir in lemon zest and brioche crumbs and transfer to a rimmed baking sheet. Bake the crumbs until golden brown and crisp, about 2 minutes. Halve the eggs and arrange on a platter. Dollop 1/4 teaspoon of the mayonnaise on each egg yolk. Top each with the anchovy crumbs and parsley and serve."
51,Acciughe Con Salsa Verde (anchovies In Green Sauce),43,TRUE,FALSE,TRUE,TRUE,45,sauce,"basil,flat leaf parsley,garlic,hard-boiled egg,olive oil,parsley,red chile flakes,vinegar,white wine",,151,0,
52,California Artichokes With Anchovy Mayonnaise,597,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovy,artichokes,bay leaves,dijon mustard,egg yolks,fresh parsley,fresh thyme,garlic,garlic cloves,kosher salt,kosher salt,lemon juice,lemons,low sodium chicken broth,olive oil,white wine,white wine vinegar",,282,6,
53,"Anchovy, Little Gem, And Tomato Salad",216,FALSE,FALSE,TRUE,TRUE,45,side dish,"anchovy,curly parsley,vinaigrette,kosher salt,lettuce,olive oil,vine ripened tomatoes",,165,0,"Preheat oven to 400. Place tomatoes in an 8x8x2"" glass baking dish. Season with salt and pepper, then drizzle with oil. Roast tomatoes until softened, about 30 minutes. Let cool. Transfer tomatoes to a large bowl, leaving juices behind. Pour vinaigrette into baking dish and whisk into the tomato juices to blend.Add anchovies and lettuce to bowl with tomatoes. Drizzle vinaigrette over. Toss salad to coat (it's best if you use your hands). Season salad to taste with salt and pepper. Sprinkle parsley over and serve."
54,Anchovy and Piquillo Pepper Bruschetta,61,FALSE,FALSE,FALSE,TRUE,45,side dish,"anchovies,bread,caperberries,garlic clove,olive oil,piquillo peppers,sea-salt",,152,0,"Preheat the broiler. Toast the bread until golden, then lightly brush with olive oil. Rub the toasts on 1 side with the garlic clove. In a small bowl, toss the piquillos with the anchovies and caperberries. Spoon the topping on the toasts. Drizzle with olive oil, sprinkle with salt and pepper and serve."
